epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1896,1.62461,2.18545,1.21655,0.72685,0.43713,0.56534,0.3201,1.37238,1.5113,1.34408,0.06783,0.000994949,0.000994949
2,81.203,1.51393,1.53748,1.17685,0.75244,0.61853,0.6578,0.35729,1.39041,1.04315,1.38435,0.0354868,0.00198507,0.00198507
3,121.041,1.49977,1.45689,1.16763,0.77591,0.66587,0.71525,0.41068,1.41895,0.95957,1.3924,0.00313365,0.0029653,0.0029653
4,161.022,1.47889,1.34461,1.16449,0.72217,0.67224,0.6922,0.4011,1.36651,0.92438,1.33456,0.00295545,0.00295545,0.00295545
5,201.282,1.46102,1.25581,1.16076,0.76691,0.71946,0.79392,0.47363,1.3316,1.16098,1.30873,0.0029406,0.0029406,0.0029406
6,241.714,1.40411,1.21555,1.13586,0.74661,0.7839,0.8494,0.51431,1.3542,0.78924,1.33338,0.00292575,0.00292575,0.00292575
7,282.258,1.41243,1.17788,1.14139,0.73158,0.81317,0.83338,0.49153,1.32538,0.79887,1.30172,0.0029109,0.0029109,0.0029109
8,322.367,1.36291,1.13932,1.12397,0.72822,0.78658,0.835,0.53144,1.31872,0.76267,1.3036,0.00289605,0.00289605,0.00289605
9,362.633,1.36589,1.09288,1.1269,0.83688,0.69044,0.83692,0.51655,1.31112,0.78003,1.31187,0.0028812,0.0028812,0.0028812
10,402.453,1.35911,1.07807,1.10914,0.8355,0.79557,0.89092,0.56484,1.30511,0.7105,1.30247,0.00286635,0.00286635,0.00286635
11,442.176,1.31405,1.01779,1.09513,0.85511,0.72849,0.83296,0.53279,1.27512,0.74152,1.29357,0.0028515,0.0028515,0.0028515
12,483.244,1.30022,1.01266,1.08938,0.91757,0.73374,0.83982,0.51892,1.29199,0.68615,1.30747,0.00283665,0.00283665,0.00283665
13,524.124,1.29673,1.02181,1.08344,0.72439,0.81283,0.82978,0.51071,1.28446,0.69006,1.30025,0.0028218,0.0028218,0.0028218
14,564.255,1.29818,1.01551,1.09736,0.76293,0.82624,0.86149,0.52291,1.32735,0.70144,1.32894,0.00280695,0.00280695,0.00280695
15,603.636,1.26665,0.96778,1.08418,0.8171,0.78179,0.87151,0.55584,1.2796,0.69041,1.29691,0.0027921,0.0027921,0.0027921
16,644.793,1.25754,0.96724,1.06893,0.79092,0.73012,0.82804,0.50084,1.29841,0.67914,1.31118,0.00277725,0.00277725,0.00277725
17,684.956,1.25444,0.96478,1.08403,0.86084,0.79168,0.89839,0.5756,1.29093,0.6549,1.32275,0.0027624,0.0027624,0.0027624
18,725.223,1.28492,0.97078,1.09948,0.78073,0.87463,0.88596,0.52529,1.27939,0.67199,1.2954,0.00274755,0.00274755,0.00274755
19,765.95,1.25087,0.96212,1.07182,0.81328,0.83136,0.88035,0.56107,1.28961,0.68539,1.2971,0.0027327,0.0027327,0.0027327
20,806.315,1.22158,0.91656,1.06233,0.70648,0.89196,0.90025,0.58557,1.26972,0.66323,1.28545,0.00271785,0.00271785,0.00271785
21,846.753,1.20361,0.90787,1.05974,0.76233,0.88571,0.89795,0.58815,1.28433,0.63948,1.31342,0.002703,0.002703,0.002703
22,887.028,1.21354,0.90731,1.05881,0.75497,0.86386,0.87436,0.55439,1.27162,0.64512,1.32053,0.00268815,0.00268815,0.00268815
23,927.221,1.21845,0.89366,1.063,0.76272,0.8836,0.88228,0.55401,1.25308,0.6492,1.31037,0.0026733,0.0026733,0.0026733
24,967.274,1.19681,0.88209,1.05174,0.82471,0.84143,0.85547,0.55443,1.25006,0.65018,1.28563,0.00265845,0.00265845,0.00265845
25,1007.46,1.19069,0.88476,1.04814,0.74914,0.87815,0.92196,0.58328,1.25945,0.62892,1.29854,0.0026436,0.0026436,0.0026436
26,1047.59,1.16787,0.86304,1.04652,0.77865,0.81275,0.86002,0.54218,1.25367,0.62762,1.29083,0.00262875,0.00262875,0.00262875
27,1088.26,1.16073,0.85351,1.03698,0.8302,0.85813,0.89301,0.58136,1.23824,0.63185,1.28996,0.0026139,0.0026139,0.0026139
28,1128.64,1.16539,0.84771,1.0434,0.87006,0.8259,0.87353,0.55938,1.23264,0.62436,1.26778,0.00259905,0.00259905,0.00259905
29,1168.24,1.14739,0.84556,1.03286,0.86637,0.82574,0.89665,0.57558,1.25895,0.618,1.28911,0.0025842,0.0025842,0.0025842
30,1208.24,1.15171,0.82766,1.03738,0.85086,0.82106,0.89657,0.60246,1.24205,0.60301,1.28561,0.00256935,0.00256935,0.00256935
31,1248.45,1.15199,0.8221,1.03655,0.80565,0.8766,0.8872,0.56873,1.22276,0.6156,1.27095,0.0025545,0.0025545,0.0025545
32,1288.08,1.12467,0.8179,1.02309,0.83042,0.88648,0.9113,0.58777,1.25319,0.60969,1.30022,0.00253965,0.00253965,0.00253965
33,1328.3,1.11758,0.79394,1.02334,0.86478,0.76762,0.88616,0.58201,1.24016,0.6155,1.28017,0.0025248,0.0025248,0.0025248
34,1368.66,1.12214,0.80857,1.01668,0.88848,0.79869,0.87407,0.57798,1.26455,0.61375,1.30685,0.00250995,0.00250995,0.00250995
35,1408.98,1.13279,0.81538,1.02731,0.87436,0.85278,0.90883,0.59336,1.23914,0.60325,1.29297,0.0024951,0.0024951,0.0024951
36,1449.1,1.14668,0.80985,1.03073,0.84845,0.87366,0.89707,0.58903,1.27682,0.61335,1.30798,0.00248025,0.00248025,0.00248025
37,1489.54,1.12053,0.78038,1.02134,0.76252,0.89519,0.90415,0.59416,1.24864,0.62314,1.28749,0.0024654,0.0024654,0.0024654
38,1529.8,1.09921,0.78365,1.00961,0.84488,0.80968,0.9147,0.62336,1.21691,0.61613,1.26798,0.00245055,0.00245055,0.00245055
39,1570.31,1.08482,0.76685,1.01608,0.74716,0.87522,0.91237,0.58755,1.23013,0.59656,1.27854,0.0024357,0.0024357,0.0024357
40,1610.79,1.0989,0.79211,1.0084,0.81683,0.8083,0.87306,0.56572,1.23446,0.63132,1.30018,0.00242085,0.00242085,0.00242085
41,1651.64,1.09057,0.78308,1.01167,0.77071,0.89183,0.9153,0.60304,1.23774,0.62389,1.28304,0.002406,0.002406,0.002406
42,1692.14,1.10294,0.77618,1.01218,0.77365,0.90378,0.89815,0.59541,1.2137,0.61945,1.28798,0.00239115,0.00239115,0.00239115
43,1732.89,1.07109,0.75296,1.00382,0.8209,0.87701,0.91735,0.60449,1.20424,0.61199,1.28319,0.0023763,0.0023763,0.0023763
44,1773.48,1.07029,0.76609,1.00313,0.79158,0.88421,0.9073,0.60018,1.19109,0.5842,1.28221,0.00236145,0.00236145,0.00236145
45,1814.63,1.06816,0.76352,1.00903,0.84493,0.81915,0.93802,0.6179,1.23528,0.59253,1.3015,0.0023466,0.0023466,0.0023466
46,1855.43,1.08357,0.77049,1.00279,0.86582,0.80836,0.92299,0.61279,1.20272,0.60342,1.26333,0.00233175,0.00233175,0.00233175
47,1896.54,1.05321,0.73828,0.9935,0.86304,0.85487,0.9359,0.62178,1.21024,0.5926,1.28685,0.0023169,0.0023169,0.0023169
48,1937.14,1.04124,0.72409,0.99177,0.83978,0.80927,0.88933,0.56736,1.23011,0.61467,1.31093,0.00230205,0.00230205,0.00230205
49,1978.03,1.05897,0.74455,0.99436,0.87777,0.85759,0.95044,0.63001,1.20812,0.60522,1.29193,0.0022872,0.0022872,0.0022872
50,2018.4,1.0508,0.74177,0.99333,0.86863,0.87558,0.92439,0.61017,1.18845,0.59904,1.28424,0.00227235,0.00227235,0.00227235
51,2058.67,1.05257,0.74468,0.99229,0.84492,0.87898,0.91743,0.60633,1.18785,0.58213,1.2862,0.0022575,0.0022575,0.0022575
52,2099.03,1.04221,0.74453,0.99987,0.85679,0.83233,0.91778,0.60366,1.17792,0.60104,1.26001,0.00224265,0.00224265,0.00224265
53,2138.95,1.04488,0.74504,0.99032,0.89691,0.84358,0.95791,0.648,1.18105,0.57392,1.26808,0.0022278,0.0022278,0.0022278
54,2179.26,1.03676,0.72389,0.99806,0.80618,0.88761,0.90233,0.60942,1.2008,0.60392,1.2825,0.00221295,0.00221295,0.00221295
55,2219.69,1.01938,0.73049,0.98559,0.81218,0.86261,0.89733,0.61971,1.19359,0.60328,1.27729,0.0021981,0.0021981,0.0021981
56,2260.18,1.03588,0.72925,0.99272,0.76999,0.90144,0.92478,0.64139,1.20052,0.57556,1.27582,0.00218325,0.00218325,0.00218325
57,2300.66,1.02409,0.72397,0.98212,0.70443,0.92116,0.9307,0.62585,1.19454,0.5738,1.28021,0.0021684,0.0021684,0.0021684
